paper_id,abstract_id
paper_4129e0aa65c2,abs_paper_4129e0aa65c2
paper_4194e30d1975,abs_paper_4194e30d1975
paper_41e68288a035,abs_paper_41e68288a035
paper_421767b9f339,abs_paper_421767b9f339
paper_421b460f267f,abs_paper_421b460f267f
paper_421c372b4ea0,abs_paper_421c372b4ea0
paper_4252f6587121,abs_paper_4252f6587121
paper_42dbd7e133da,abs_paper_42dbd7e133da
paper_42f50151e91e,abs_paper_42f50151e91e
paper_43254d77185f,abs_paper_43254d77185f
paper_432d37e0024b,abs_paper_432d37e0024b
paper_4361b8efdaab,abs_paper_4361b8efdaab
paper_4380e88c86b9,abs_paper_4380e88c86b9
paper_44b75c7eed59,abs_paper_44b75c7eed59
paper_44ca8f5d3053,abs_paper_44ca8f5d3053
paper_44cbae90545f,abs_paper_44cbae90545f
paper_455bf65090b9,abs_paper_455bf65090b9
paper_4625bbbcd5e8,abs_paper_4625bbbcd5e8
paper_46638cc8742b,abs_paper_46638cc8742b
paper_46a8b8571f77,abs_paper_46a8b8571f77
paper_47341468552c,abs_paper_47341468552c
paper_48786788a0ac,abs_paper_48786788a0ac
paper_490a6af20a02,abs_paper_490a6af20a02
paper_491cb30225c2,abs_paper_491cb30225c2
paper_497f39823f37,abs_paper_497f39823f37
paper_49c8daeb25c6,abs_paper_49c8daeb25c6
paper_49f4abe7b7b6,abs_paper_49f4abe7b7b6
paper_4a12daac1e98,abs_paper_4a12daac1e98
paper_4a211d940bf0,abs_paper_4a211d940bf0
paper_4a2a8e4bff54,abs_paper_4a2a8e4bff54
paper_4a3a5389410e,abs_paper_4a3a5389410e
paper_4a5039f1d2b7,abs_paper_4a5039f1d2b7
paper_4a8b0d293012,abs_paper_4a8b0d293012
paper_4aefb3a36734,abs_paper_4aefb3a36734
paper_4b591a68f471,abs_paper_4b591a68f471
paper_4b8dcaeb29cc,abs_paper_4b8dcaeb29cc
paper_4c3207933faf,abs_paper_4c3207933faf
paper_4c4cad8785d8,abs_paper_4c4cad8785d8
paper_4c4d49d0aa39,abs_paper_4c4d49d0aa39
paper_4c81d040624e,abs_paper_4c81d040624e
paper_4c9f687043c6,abs_paper_4c9f687043c6
paper_4cbf4a6b207d,abs_paper_4cbf4a6b207d
paper_4ce7ec4509bb,abs_paper_4ce7ec4509bb
paper_4cee74203e3b,abs_paper_4cee74203e3b
paper_4d060cfa77c3,abs_paper_4d060cfa77c3
paper_4d0fe8340663,abs_paper_4d0fe8340663
paper_4d3653dbf5d2,abs_paper_4d3653dbf5d2
paper_4d4b6712c7c4,abs_paper_4d4b6712c7c4
